probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	symbol
ILMN_1775501	6.644291735	11.2536545	98.40621337	4.14E-15	8.30E-11	24.42715773	IL1B
ILMN_1744381	6.034262336	10.33284003	93.3433023	6.69E-15	8.30E-11	24.09645619	SERPINE1
ILMN_1704418	6.281273229	8.968965646	90.61586438	8.77E-15	8.30E-11	23.90504196	FOXD1
ILMN_1695301	6.132433192	8.327172529	86.94555973	1.28E-14	8.30E-11	23.63141677	C7orf69
ILMN_1705258	5.81620368	8.081206773	84.48579885	1.66E-14	8.30E-11	23.43697676	CPZ
ILMN_1699574	5.999617564	10.79267316	84.12163141	1.73E-14	8.30E-11	23.40739451	NRP1
ILMN_1754076	5.679471848	9.170666484	81.52344686	2.30E-14	8.30E-11	23.19010914	CACNA2D3
ILMN_1773337	5.485710572	10.05286728	81.37259963	2.34E-14	8.30E-11	23.17714936	DKK1
ILMN_1701308	5.738645155	8.639332058	80.07618836	2.70E-14	8.30E-11	23.0641576	COL1A1
ILMN_1706505	5.258866878	8.867300672	78.58240759	3.21E-14	8.30E-11	22.93028893	COL5A1
ILMN_1696521	6.609679259	8.557783938	78.56256702	3.22E-14	8.30E-11	22.92848374	EGFR
ILMN_1705403	7.203757724	9.394140431	78.07854661	3.40E-14	8.30E-11	22.88422123	CYP2S1
ILMN_2307903	6.810078788	10.65372501	76.17463556	4.26E-14	9.29E-11	22.70584523	VCAM1
ILMN_3242540	6.395893237	8.729060601	74.31704666	5.33E-14	9.29E-11	22.5249979	CD163L1
ILMN_1762260	5.792565026	10.03897025	73.78478585	5.69E-14	9.29E-11	22.47189077	C3
ILMN_1766925	5.31355414	10.24894551	73.49987737	5.90E-14	9.29E-11	22.44322203	CDH13
ILMN_2413158	6.076932392	10.75258914	72.87886558	6.37E-14	9.29E-11	22.38014167	PODXL
ILMN_1784294	5.487545694	11.18987937	72.47392573	6.70E-14	9.29E-11	22.33856718	CPA4
ILMN_1689431	5.320783203	9.090148562	72.47247792	6.70E-14	9.29E-11	22.33841791	APCDD1L
ILMN_1725387	5.538849738	9.275930123	72.39180718	6.77E-14	9.29E-11	22.33009322	TMEM200A
ILMN_1715748	5.286886752	11.22431587	72.07563154	7.05E-14	9.29E-11	22.29733013	FLNC
ILMN_1726448	5.633350071	10.41648522	71.71610285	7.37E-14	9.29E-11	22.25980976	MMP1
ILMN_2406084	6.75548973	9.251457353	71.43105116	7.65E-14	9.29E-11	22.22985965	ITGA11
ILMN_2234697	5.829024038	9.568722831	71.24576305	7.83E-14	9.29E-11	22.21029499	BEX1
ILMN_1656057	5.968278853	9.833845788	71.14129722	7.93E-14	9.29E-11	22.19923065	PLAU
ILMN_1727689	5.075797599	8.602080249	70.83440558	8.25E-14	9.30E-11	22.16658519	TNFAIP2
ILMN_1746013	6.363056632	9.238391802	70.24284968	8.91E-14	9.66E-11	22.10305734	SPOCK1
ILMN_1714592	5.694270269	10.41258309	69.24971	1.01E-13	1.06E-10	21.99459018	CDA
ILMN_1676361	6.459226372	8.217711839	68.20220983	1.16E-13	1.12E-10	21.87766146	ARHGAP22
ILMN_1800317	5.390714658	9.063477916	67.87671463	1.22E-13	1.12E-10	21.84078772	WNT5A
ILMN_1728262	6.06203349	8.709372312	67.81433438	1.23E-13	1.12E-10	21.83369134	SAA2
ILMN_1791679	5.997346922	10.53655755	67.46896567	1.29E-13	1.12E-10	21.79422845	DNER
ILMN_1773352	5.412967187	10.18805122	67.42786157	1.29E-13	1.12E-10	21.78951209	CCL5
ILMN_1725276	6.214503592	7.784356943	67.11475611	1.35E-13	1.12E-10	21.75344745	C4orf7
ILMN_2381286	5.36677418	8.575192023	66.99410536	1.37E-13	1.12E-10	21.73948488	DMD
ILMN_1798975	5.925292256	9.771583888	66.97032077	1.37E-13	1.12E-10	21.73672803	EGFR
ILMN_2304512	5.517720088	7.929599369	66.57223579	1.45E-13	1.15E-10	21.69037386	SAA1
ILMN_1699651	4.630940339	10.65924276	65.46292679	1.69E-13	1.30E-10	21.55905451	IL6
ILMN_1773262	5.918024021	10.01013094	65.01008698	1.80E-13	1.33E-10	21.50452102	ESM1
ILMN_1651343	4.430680698	8.101354559	64.95338992	1.82E-13	1.33E-10	21.49765479	ITGA11
ILMN_1727084	5.182670537	8.522657924	64.62798597	1.90E-13	1.36E-10	21.45808025	ADAMTSL1
ILMN_1802082	4.859341884	8.719546024	64.46957174	1.94E-13	1.36E-10	21.43871101	PRDM8
ILMN_1771800	4.720512363	9.327232666	64.23322684	2.01E-13	1.37E-10	21.40968641	PRKCA
ILMN_1720048	6.077198751	9.219374652	62.55819608	2.56E-13	1.67E-10	21.19953768	CCL2
ILMN_2159272	5.432269098	8.68471646	62.51372358	2.57E-13	1.67E-10	21.19384988	PDCD1LG2
ILMN_1784749	4.692602255	7.407089311	62.32918556	2.64E-13	1.68E-10	21.17018739	GAS6
ILMN_2212878	4.884606669	10.01904632	61.83493048	2.84E-13	1.76E-10	21.10632314	ESM1
ILMN_2174189	5.808471256	8.914545481	61.72999925	2.89E-13	1.76E-10	21.09267242	DKK1
ILMN_2199389	5.601175124	10.08479212	61.59858556	2.94E-13	1.76E-10	21.07553063	VIPR1
ILMN_3247223	4.167656804	8.759553272	61.29305602	3.08E-13	1.80E-10	21.0354785	TPBG
ILMN_1651826	4.328839288	10.63682269	61.00685191	3.21E-13	1.84E-10	20.9977061	BASP1
ILMN_1719547	4.896635516	8.904765384	60.82423423	3.30E-13	1.85E-10	20.97347547	INHBA
ILMN_1809101	4.838503087	9.482949053	60.73061223	3.35E-13	1.85E-10	20.96101394	STEAP2
ILMN_1685433	5.558054875	8.954283345	60.12193327	3.67E-13	1.96E-10	20.87934051	COL8A1
ILMN_1715169	4.592319235	9.2583002	60.10679548	3.68E-13	1.96E-10	20.87729471	HLA-DRB1
ILMN_2386973	5.120640986	9.671714715	58.61020399	4.62E-13	2.42E-10	20.67146161	PKP2
ILMN_2311052	5.036701911	8.316821657	57.64861467	5.37E-13	2.70E-10	20.53537222	COL13A1
ILMN_2343618	6.036190085	7.870851322	57.59997402	5.42E-13	2.70E-10	20.52840635	SAMD3
ILMN_1766955	6.310458844	10.62707317	57.57100832	5.44E-13	2.70E-10	20.52425435	VCAM1
ILMN_1653028	4.203444516	9.829055169	57.03544676	5.92E-13	2.89E-10	20.44697225	COL4A1
ILMN_1713124	5.830361811	9.08495759	56.91027319	6.04E-13	2.90E-10	20.42876797	AKR1C3
ILMN_1671353	3.7520808	8.583257981	56.73774505	6.21E-13	2.93E-10	20.40358803	IL12A
ILMN_2364521	5.132225799	7.703538957	56.41711053	6.54E-13	3.00E-10	20.35651729	AXL
ILMN_1769245	5.667085232	8.322669194	56.41003415	6.55E-13	3.00E-10	20.35547439	GLIPR1
ILMN_1789991	5.08172547	8.083049536	55.9660429	7.03E-13	3.17E-10	20.28968613	4-Mar
ILMN_1712684	5.771153399	8.298187408	55.87576202	7.14E-13	3.17E-10	20.27622312	FAM20C
ILMN_2128795	4.37357666	8.659909383	55.19832112	7.98E-13	3.49E-10	20.17426419	LRIG1
ILMN_1659601	4.70199856	8.961606955	55.01294027	8.22E-13	3.54E-10	20.14607208	CCL26
ILMN_2065773	4.639748681	9.46503752	54.86884771	8.42E-13	3.56E-10	20.12407153	SCG5
ILMN_2389501	3.880157014	7.572067211	54.79195079	8.53E-13	3.56E-10	20.1122992	HSD11B1
ILMN_2233314	4.573735413	9.685667593	54.72533183	8.62E-13	3.56E-10	20.1020826	SPANXA1
ILMN_1788107	6.014010452	9.348545262	54.48827093	8.97E-13	3.65E-10	20.06559301	IL11
ILMN_1713751	4.685090913	9.163001637	53.74371089	1.02E-12	4.08E-10	19.94960714	ADAM19
ILMN_2313079	3.789883804	8.747349844	53.42377168	1.07E-12	4.25E-10	19.89911507	NLRP1
ILMN_1772824	3.991932381	7.422885253	53.32046299	1.09E-12	4.27E-10	19.88272618	WNT5B
ILMN_1671337	3.733339381	8.454644242	53.11305578	1.13E-12	4.33E-10	19.84969696	SLC2A5
ILMN_1802029	4.893614205	9.236588897	53.0550074	1.14E-12	4.33E-10	19.84042256	CTAGE1
ILMN_1693119	5.134508473	10.17926985	53.0091658	1.15E-12	4.33E-10	19.83308905	LYPD6B
ILMN_1751465	3.950942788	8.898491878	52.79890044	1.19E-12	4.43E-10	19.79934518	BNC1
ILMN_1755415	3.953369187	7.037311068	52.43803585	1.27E-12	4.65E-10	19.74102156	SAMD3
