probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	symbol
ILMN_1775501	6.64429173466666	11.2536544994286	98.4062133655082	4.13846858450051e-15	8.30290070623294e-11	24.4271577280335	IL1B
ILMN_1744381	6.03426233616667	10.3328400327143	93.3433022987489	6.69470699365953e-15	8.30290070623294e-11	24.0964561869556	SERPINE1
ILMN_1704418	6.28127322916666	8.96896564642857	90.6158643780459	8.77003688188786e-15	8.30290070623294e-11	23.9050419591852	FOXD1
ILMN_1695301	6.13243319183333	8.32717252885714	86.9455597262866	1.27789934456872e-14	8.30290070623294e-11	23.631416773475	C7orf69
ILMN_1705258	5.8162036795	8.08120677271429	84.4857988500352	1.65946747209853e-14	8.30290070623294e-11	23.4369767596668	CPZ
ILMN_1699574	5.99961756416666	10.7926731571429	84.121631413686	1.72602808710048e-14	8.30290070623294e-11	23.4073945137512	NRP1
ILMN_1754076	5.67947184783333	9.17066648414286	81.523446860921	2.296593759956e-14	8.30290070623294e-11	23.1901091409738	CACNA2D3
ILMN_1773337	5.48571057166667	10.0528672835714	81.3725996289783	2.33564160893264e-14	8.30290070623294e-11	23.1771493644552	DKK1
ILMN_1701308	5.738645155	8.63933205785714	80.0761883581814	2.70331798091861e-14	8.30290070623294e-11	23.0641575981926	COL1A1
ILMN_1706505	5.25886687816667	8.86730067185714	78.5824075870258	3.20876489339416e-14	8.30290070623294e-11	22.9302889257169	COL5A1
ILMN_1696521	6.609679259	8.55778393757143	78.5625670157272	3.21614852830469e-14	8.30290070623294e-11	22.9284837405243	EGFR
ILMN_1705403	7.20375772366667	9.39414043128571	78.0785466067784	3.40224717346066e-14	8.30290070623294e-11	22.8842212313993	CYP2S1
ILMN_2307903	6.810078788	10.6537250051429	76.1746355643462	4.25940859957693e-14	9.29474069962892e-11	22.7058452326206	VCAM1
ILMN_3242540	6.39589323716667	8.72906060085714	74.3170466558054	5.33250650377556e-14	9.29474069962892e-11	22.5249979008713	CD163L1
ILMN_1762260	5.7925650255	10.0389702494286	73.7847858482947	5.69298999647819e-14	9.29474069962892e-11	22.4718907675772	C3
ILMN_1766925	5.31355413966666	10.2489455065714	73.4998773687	5.89700189628338e-14	9.29474069962892e-11	22.4432220259042	CDH13
ILMN_2413158	6.076932392	10.7525891384286	72.8788655809762	6.37039477266124e-14	9.29474069962892e-11	22.3801416718732	PODXL
ILMN_1784294	5.48754569383333	11.1898793651429	72.4739257270541	6.70173383570199e-14	9.29474069962892e-11	22.3385671846122	CPA4
ILMN_1689431	5.320783203	9.09014856157143	72.4724779246207	6.7029522802908e-14	9.29474069962892e-11	22.3384179092739	APCDD1L
ILMN_1725387	5.53884973783333	9.27593012271429	72.391807180746	6.77123331404044e-14	9.29474069962892e-11	22.3300932238244	TMEM200A
ILMN_1715748	5.28688675183333	11.2243158745714	72.0756315375603	7.04638852633454e-14	9.29474069962892e-11	22.2973301306348	FLNC
ILMN_1726448	5.63335007133333	10.4164852172857	71.7161028507166	7.37444776710855e-14	9.29474069962892e-11	22.259809759495	MMP1
ILMN_2406084	6.75548972983333	9.25145735328571	71.4310511626009	7.64660780204272e-14	9.29474069962892e-11	22.22985965403	ITGA11
ILMN_2234697	5.829024038	9.56872283085714	71.2457630466604	7.82948554579025e-14	9.29474069962892e-11	22.210294989869	BEX1
ILMN_1656057	5.96827885316667	9.83384578828571	71.1412972237178	7.93472827354355e-14	9.29474069962892e-11	22.1992306521307	PLAU
ILMN_1727689	5.07579759883334	8.60208024942857	70.834405578654	8.25309112712967e-14	9.29583744838433e-11	22.1665851915294	TNFAIP2
ILMN_1746013	6.36305663183333	9.23839180171429	70.2428496815308	8.90753589731331e-14	9.66137736121557e-11	22.1030573442414	SPOCK1
ILMN_1714592	5.69427026933333	10.412583091	69.249710002893	1.0139747698746e-13	1.06050896913491e-10	21.9945901764915	CDA
ILMN_1676361	6.45922637216667	8.21771183871429	68.2022098263562	1.16480944747737e-13	1.11845308940082e-10	21.877661457098	ARHGAP22
ILMN_1800317	5.39071465783333	9.06347791557143	67.8767146254775	1.21662739661541e-13	1.11845308940082e-10	21.8407877223346	WNT5A
ILMN_1728262	6.06203349	8.70937231214286	67.8143343815505	1.22684742147468e-13	1.11845308940082e-10	21.8336913396809	SAA2
ILMN_1791679	5.99734692166667	10.5365575521429	67.4689656744307	1.28518286696659e-13	1.11845308940082e-10	21.7942284542514	DNER
ILMN_1773352	5.41296718666667	10.188051215	67.4278615662311	1.29232823224286e-13	1.11845308940082e-10	21.7895120924736	CCL5
ILMN_1725276	6.214503592	7.78435694271429	67.1147561072664	1.34822660654949e-13	1.11845308940082e-10	21.7534474531535	C4orf7
ILMN_2381286	5.36677418033333	8.57519202271429	66.9941053561264	1.37047799825277e-13	1.11845308940082e-10	21.7394848752539	DMD
ILMN_1798975	5.925292256	9.77158388814286	66.9703207688745	1.37491245410379e-13	1.11845308940082e-10	21.7367280265367	EGFR
ILMN_2304512	5.51772008833333	7.92959936928571	66.5722357921708	1.45154599963048e-13	1.14887904322104e-10	21.6903738603235	SAA1
ILMN_1699651	4.63094033916666	10.6592427557143	65.462926787163	1.69129558244217e-13	1.30341029294261e-10	21.5590545064866	IL6
ILMN_1773262	5.9180240205	10.0101309387143	65.0100869804276	1.80153735281337e-13	1.32946053497696e-10	21.5045210150248	ESM1
ILMN_1651343	4.43068069825	8.10135455885714	64.953389919933	1.81589282564721e-13	1.32946053497696e-10	21.4976547865218	ITGA11
ILMN_1727084	5.182670537	8.52265792414286	64.6279859700547	1.90077864178341e-13	1.35526038637195e-10	21.4580802515345	ADAMTSL1
ILMN_1802082	4.85934188383333	8.71954602442857	64.4695717448829	1.94368913189762e-13	1.35526038637195e-10	21.4387110146775	PRDM8
ILMN_1771800	4.7205123625	9.32723266571429	64.2332268425671	2.00972103843065e-13	1.36871350256841e-10	21.4096864053028	PRKCA
ILMN_1720048	6.0771987505	9.21937465228571	62.5581960819024	2.55572371099085e-13	1.67400079988065e-10	21.1995376784897	CCL2
ILMN_2159272	5.43226909816667	8.68471645971429	62.5137235773322	2.57230787074028e-13	1.67400079988065e-10	21.1938498756569	PDCD1LG2
ILMN_1784749	4.69260225483334	7.40708931142857	62.3291855582182	2.64241079536328e-13	1.68223913352638e-10	21.1701873905666	GAS6
ILMN_2212878	4.884606669	10.0190463168571	61.8349304802173	2.84083960061516e-13	1.75801096043073e-10	21.1063231377604	ESM1
ILMN_2174189	5.80847125566667	8.91454548114286	61.72999924519	2.88506123660012e-13	1.75801096043073e-10	21.0926724175507	DKK1
ILMN_2199389	5.60117512383333	10.084792123	61.5985855555418	2.94152422950677e-13	1.75801096043073e-10	21.075530634081	VIPR1
ILMN_3247223	4.16765680416666	8.75955327214286	61.2930560212724	3.07759674807099e-13	1.80254841534518e-10	21.0354785014263	TPBG
ILMN_1651826	4.32883928833333	10.6368226871429	61.0068519126101	3.21142204961985e-13	1.84404891613955e-10	20.9977061024853	BASP1
ILMN_1719547	4.8966355155	8.90476538442857	60.8242342282193	3.30018035182884e-13	1.84922980314008e-10	20.9734754658765	INHBA
ILMN_1809101	4.8385030865	9.48294905257143	60.7306122330606	3.34673653974473e-13	1.84922980314008e-10	20.9610139432849	STEAP2
ILMN_1685433	5.55805487483333	8.95428334471429	60.1219332720575	3.66779063274626e-13	1.95740898529078e-10	20.8793405096254	COL8A1
ILMN_1715169	4.592319235	9.2583002	60.1067954821278	3.67619922113686e-13	1.95740898529078e-10	20.8772947091471	HLA-DRB1
ILMN_2386973	5.12064098616667	9.67171471485714	58.6102039854733	4.62350601029163e-13	2.41784595556054e-10	20.6714616052053	PKP2
ILMN_2311052	5.03670191066667	8.31682165685714	57.6486146706214	5.37394067677388e-13	2.70025719796173e-10	20.5353722208013	COL13A1
ILMN_2343618	6.03619008533333	7.870851322	57.599974024813	5.41534096549905e-13	2.70025719796173e-10	20.5284063490516	SAMD3
ILMN_1766955	6.31045884383333	10.6270731708571	57.5710083158595	5.44016304182148e-13	2.70025719796173e-10	20.5242543496816	VCAM1
ILMN_1653028	4.203444516	9.82905516885714	57.0354467561031	5.92262633633873e-13	2.890735204328e-10	20.4469722496688	COL4A1
ILMN_1713124	5.830361811	9.08495758957143	56.9102731917836	6.04211536091084e-13	2.90071062859465e-10	20.4287679657222	AKR1C3
ILMN_1671353	3.75208080033333	8.58325798128571	56.7377450470702	6.21121533648049e-13	2.93379743756179e-10	20.4035880349749	IL12A
ILMN_2364521	5.13222579916667	7.703538957	56.4171105297416	6.53960473462838e-13	2.9957943136065e-10	20.3565172939248	AXL
ILMN_1769245	5.66708523216667	8.32266919371429	56.4100341511617	6.54706628208353e-13	2.9957943136065e-10	20.3554743882645	GLIPR1
ILMN_1789991	5.08172547	8.08304953571429	55.9660428979123	7.03466720445117e-13	3.16751369451491e-10	20.2896861268974	March 4
ILMN_1712684	5.77115339933333	8.29818740814286	55.8757620230287	7.13866839125778e-13	3.16751369451491e-10	20.2762231195509	FAM20C
ILMN_2128795	4.37357666033333	8.65990938271429	55.1983211202754	7.97576916477139e-13	3.48612537299e-10	20.174264186342	LRIG1
ILMN_1659601	4.70199856033333	8.96160695485714	55.0129402736821	8.22342407608651e-13	3.54151432453225e-10	20.1460720756074	CCL26
ILMN_2065773	4.639748681	9.46503751957143	54.8688477144281	8.42181719944337e-13	3.55738845943681e-10	20.124071525415	SCG5
ILMN_2389501	3.88015701433333	7.57206721128571	54.7919507852763	8.52986120866245e-13	3.55738845943681e-10	20.112299195403	HSD11B1
ILMN_2233314	4.5737354125	9.68566759285714	54.7253318250035	8.62470823356715e-13	3.55738845943681e-10	20.1020825953555	SPANXA1
ILMN_1788107	6.0140104515	9.34854526185714	54.488270934953	8.97182942896602e-13	3.64916701148986e-10	20.0655930060317	IL11
ILMN_1713751	4.6850909125	9.16300163714286	53.74371089407	1.01669277481902e-12	4.07860930281851e-10	19.949607143222	ADAM19
ILMN_2313079	3.789883804	8.747349844	53.423771681271	1.07338742792159e-12	4.24785821982213e-10	19.8991150700931	NLRP1
ILMN_1772824	3.99193238133333	7.42288525257143	53.3204629940644	1.09243653205521e-12	4.26560051216493e-10	19.8827261791709	WNT5B
ILMN_1671337	3.73333938141666	8.45464424171429	53.1130557812965	1.13182315553862e-12	4.32570267171606e-10	19.8496969550092	SLC2A5
ILMN_1802029	4.89361420516667	9.23658889671429	53.0550073974946	1.1431268628159e-12	4.32570267171606e-10	19.8404225608119	CTAGE1
ILMN_1693119	5.13450847316667	10.1792698511429	53.0091658009197	1.15214208090781e-12	4.32570267171606e-10	19.8330890483426	LYPD6B
ILMN_1751465	3.95094278783333	8.89849187771429	52.7989004433207	1.19451611313633e-12	4.42802587002498e-10	19.7993451758243	BNC1
ILMN_1755415	3.95336918708333	7.03731106757143	52.4380358513125	1.27132947756988e-12	4.65386046882925e-10	19.7410215573047	SAMD3
ILMN_2412336	3.86081091633333	8.53476737014286	52.3569481332319	1.2893340479308e-12	4.66149970292018e-10	19.727843940992	AKR1C2
ILMN_1658483	4.59637849383333	9.68402110514286	52.2092562832098	1.32285866663641e-12	4.7207876954104e-10	19.7037740147659	IL1A
ILMN_1703009	5.09938708908333	7.47869223714286	52.0924390242735	1.35006042521024e-12	4.7207876954104e-10	19.6846730035766	FAM20C
ILMN_1683165	4.26905664491666	8.18940407228571	52.0753432249401	1.35409310710081e-12	4.7207876954104e-10	19.681872965375	FAM20C
ILMN_1800787	4.4812940035	10.3588842395714	51.8370254264777	1.41172341201543e-12	4.86380236716139e-10	19.6427152744893	RFTN1
ILMN_2309156	4.080394919	8.63314763042857	51.7142634671089	1.44246780429197e-12	4.91193833124306e-10	19.6224531343198	PMEPA1
ILMN_1734276	4.25550317583333	10.0576790221429	51.5685911214282	1.47991739040591e-12	4.98153802046404e-10	19.5983285611548	PMEPA1
ILMN_2344298	5.94674476116667	9.45955783485714	51.3987587637246	1.52494609355191e-12	5.07477799428041e-10	19.5700912676326	STEAP2
ILMN_1812926	3.760994702	9.64978959271429	51.1196025472534	1.60230035453461e-12	5.27228830140967e-10	19.5234141706384	ANTXR2
ILMN_1765557	3.944957953	9.55852188442857	50.5120258152027	1.78616297426265e-12	5.81197585569797e-10	19.4206773162719	OLFML2B
ILMN_1774602	5.2388007255	9.28270879157143	50.375834918387	1.83051536765222e-12	5.86976969460033e-10	19.3974303452618	FBLN2
ILMN_3302919	3.2503100405	10.9847689201429	50.3351178216487	1.84401165068544e-12	5.86976969460033e-10	19.3904645216378	MYOF
ILMN_2157441	4.6874816925	9.24323980714286	50.2229982070654	1.88174931686467e-12	5.89141174442905e-10	19.37124586945	HLA-DRA
